Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,79.121,-105.3465,90.0,top
C2,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.9705,-99.441,180.0,top
C3,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.948,-105.777,-90.0,top
C4,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,96.2395,-95.631,180.0,top
C5,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,96.1655,-109.347,180.0,top
C6,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,122.0205,-101.6,0.0,top
C7,20p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,96.32875,-97.904,0.0,top
C8,20p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,96.20375,-106.504,0.0,top
C9,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.9495,-80.137,180.0,top
C10,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.0655,-114.808,180.0,top
C11,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.5175,-108.204,180.0,top
C12,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.5605,-94.234,0.0,top
C13,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.3855,-91.186,0.0,top
C14,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,102.4625,-91.948,0.0,top
C15,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,94.502,-84.0105,180.0,top
C16,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.5875,-80.137,0.0,top
C17,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,88.505,-84.0105,180.0,top
C18,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,85.656,-109.901,0.0,top
C19,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.5125,-111.125,0.0,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,127.0545,-77.851,0.0,top
D2,D_Schottky,D_SMA_Handsoldering,79.6925,-113.034635,-90.0,top
D3,D_Schottky,D_SMA_Handsoldering,126.111,-85.09,-90.0,top
J1,SWD,PinHeader_1x05_P2.54mm_Vertical,129.286,-100.4316,0.0,top
J3,Wifi,PinSocket_2x04_P2.54mm_Vertical,117.602,-85.725,-90.0,top
J4,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,131.561,-86.518,90.0,top
Q1,BC817,SOT-23,83.312,-115.713,-90.0,top
R1,510R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.2445,-80.2005,0.0,top
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.206,-99.06,180.0,top
R3,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,90.1935,-109.901,180.0,top
R4,510R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,87.9935,-114.901,0.0,top
R5,510R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,109.22,-76.5265,-90.0,top
R6,510R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,89.5985,-76.5265,-90.0,top
R7,510R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.7935,-114.901,180.0,top
R8,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.905,-115.427,90.0,top
R9,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.848,-115.427,90.0,top
R10,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.816,-115.427,90.0,top
R11,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,122.784,-115.427,90.0,top
R12,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,120.752,-115.427,90.0,top
R13,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.72,-115.427,90.0,top
R14,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,116.688,-115.427,90.0,top
R15,100R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114.656,-115.427,90.0,top
R16,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131.699,-80.01,180.0,top
R17,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131.826,-92.837,180.0,top
SW1,Reset,SW_PUSH_6mm_H8mm,126.925,-72.608,0.0,top
SW2,Menu,SW_PUSH_6mm_H8mm,115.5815,-72.6165,0.0,top
SW3,Special,SW_PUSH_6mm_H8mm,82.856,-72.6165,0.0,top
U1,C64-Exp-Port,C64-Cart,104.898,-126.249501,0.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,85.5595,-104.0765,0.0,top
U3,STM32H7B0VBTx,LQFP-100_14x14mm_P0.5mm,108.617,-102.417,0.0,top
XS1,uSD_push_push,Conn_uSDcard,99.184,-75.4485,180.0,top
Y1,25 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,96.012,-102.362,90.0,top
